,Male,Female,Death,Alive,Systolic_pressure,Diastolic_pressure,Heart_rate,LVEDD,LVEF,NSTEMI,STEMI,BNP,BNP_max,Muscle_calcium,Muscle_calcium_max,CKMB,CKMB_max,Glu,LDL,Age,Hypertension,no_Hypertension,Hyperlipidemia,no_Hyperlipidemia,Diabetes,no_Diabetes,PCI,no_PCI,Multivessel_disease,no_Multivessel_disease
darkorange,0.6175995608402991,0.6175995608402991,,,0.22476792954474242,0.849799751879253,0.26908808275446744,0.6567844393372514,0.9003135830566987,0.28386944352297605,0.28386944352297605,0.37839681940532033,0.6410675833824326,0.23686874532924987,0.3910788420264917,0.5136760665244762,0.21883791085164694,0.6081091680011201,0.008685653687556805,0.7453068059687389,0.9249881301076797,0.9249881301076797,0.09525340333962103,0.09525340333962103,0.7173981747899741,0.7173981747899741,0.9873249385289717,0.9873249385289717,0.5206915588926317,0.5206915588926317
darkred,0.40130724094932757,0.40130724094932757,,,0.09336384942525384,0.6277026076293755,0.050791056789507724,0.7519715177738648,0.9096583381140539,0.7804224913957694,0.7804224913957694,0.6974851345290352,0.5926019188612321,0.3442852863575451,0.2321156442509427,0.6002499181952656,0.1770356198259067,0.22543261060022818,0.019674295119864592,0.49934329275110556,0.25916876949916906,0.25916876949916906,0.06293577261996847,0.06293577261996847,0.2936109233500232,0.2936109233500232,0.4790800020597813,0.4790800020597813,0.8612041417970229,0.8612041417970229
orange,0.08747739892810648,0.08747739892810648,,,0.9076406520704001,0.5001809274128148,0.173475349048585,0.9090973047449323,0.9277494621887008,0.04081403350604409,0.04081403350604409,0.16628769478976937,0.8685550644037008,0.3404213543111235,0.8349684568111378,0.7926543496540392,0.012939817599480185,0.7206073768419882,0.3759770719336005,0.17630625420064722,0.28937193390854576,0.28937193390854576,0.6940154541774732,0.6940154541774732,0.8567065407987384,0.8567065407987384,0.32485036384104327,0.32485036384104327,0.13760818524086854,0.13760818524086854
midnightblue,0.7156944884621148,0.7156944884621148,,,0.5170625211799942,0.06968092327280448,0.08094520261290007,0.902567915800221,0.7888815462605769,0.3545386986638237,0.3545386986638237,0.6312102674394114,0.5243835836162896,0.3068128562144115,0.4650567115503029,0.6862562767281326,0.16071179858152287,0.18417606188870034,0.3513152123556923,0.05602423523432079,0.8899289691360532,0.8899289691360532,0.45149623438016495,0.45149623438016495,0.03779675827324929,0.03779675827324929,0.015139409432756814,0.015139409432756814,0.9366105975796307,0.9366105975796307
cyan,0.3837672270675533,0.3837672270675533,,,0.690941679188833,0.7998923991056832,0.12287747231353592,0.6930883639354339,0.2691842550592756,0.23042953927248563,0.23042953927248563,0.676020674501818,0.009074177884325524,0.8231988086114153,0.970945085779374,0.9344305863276705,0.018101127384585615,0.15024923858525072,0.12391344410194197,0.562895190471884,0.8336780226337235,0.8336780226337235,0.028572870994379013,0.028572870994379013,0.5454905290397494,0.5454905290397494,0.6724521902617104,0.6724521902617104,0.31954274530551674,0.31954274530551674
darkgrey,0.589396089293756,0.589396089293756,,,0.448055169154295,0.47317242942811055,0.12153391774171793,0.5751084381465896,0.38243482737765744,0.5459468972440329,0.5459468972440329,0.5788638871201714,0.8214586416234748,0.7822314189784693,0.25177421631979163,0.9565594449843193,0.6364141328301298,0.7910544062540281,0.706414932358617,0.3851653698624604,0.6818399202188503,0.6818399202188503,0.15601887049816165,0.15601887049816165,0.8884449932485955,0.8884449932485955,0.7888608979326772,0.7888608979326772,0.11850671283825223,0.11850671283825223
darkgreen,0.06041882253355053,0.06041882253355053,,,0.2095433923816453,0.3330526140122506,0.00021515476234997151,0.739485916846377,0.8043062662689046,0.37566547132741046,0.37566547132741046,0.961339239639803,0.9271309950913967,0.9610867017609359,0.13863974247072988,0.6939836065070588,0.11145793561209573,0.404907140243571,0.09250602932994231,0.0010263142998001246,0.24778282954884615,0.24778282954884615,0.5908826116798838,0.5908826116798838,0.26322716203036656,0.26322716203036656,0.48427954927001626,0.48427954927001626,0.3876960169603997,0.3876960169603997
salmon,0.940613483142209,0.940613483142209,,,0.04708757619538553,0.42654550312569706,0.010370555737852609,0.5585431824325564,0.9198019559356958,0.4538831899963266,0.4538831899963266,0.7828025732776869,0.526244026999717,0.4053979331127263,0.3202573741283852,0.5223309343339693,0.21163151330452004,0.28049981265028423,0.06796390572534437,0.35215671459815023,0.7813328353432545,0.7813328353432545,0.11498160576501014,0.11498160576501014,0.37238756722832356,0.37238756722832356,0.7311680991872682,0.7311680991872682,0.9885094223348387,0.9885094223348387
