,Male,Female,Death,Alive,Systolic_pressure,Diastolic_pressure,Heart_rate,LVEDD,LVEF,NSTEMI,STEMI,BNP,BNP_max,Muscle_calcium,Muscle_calcium_max,CKMB,CKMB_max,Glu,LDL,Age,Hypertension,no_Hypertension,Hyperlipidemia,no_Hyperlipidemia,Diabetes,no_Diabetes,PCI,no_PCI,Multivessel_disease,no_Multivessel_disease
darkorange,-0.07016649796828298,0.07016649796828298,,,-0.16958123427581273,-0.026643216317382992,-0.15457739868342038,0.06246700944837029,0.017625457469342746,-0.14994613839767496,0.14994613839767496,-0.12347497338798784,-0.0655321278840599,-0.16529789002078837,-0.12024804402917406,-0.09171104939747382,-0.17173875417528076,-0.07206161725146154,-0.3570087291634995,-0.04568543868143837,0.013248166516760602,-0.013248166516760602,0.23155581281952695,-0.23155581281952695,-0.05089746112699955,0.05089746112699955,-0.0022354831824771353,0.0022354831824771353,0.09019452528622415,-0.09019452528622415
darkred,0.11769012436808796,-0.11769012436808796,,,-0.23285153319931987,-0.06816257590698352,-0.2697342041085755,0.044450004758947274,-0.015965962557481783,-0.039212094537435974,0.039212094537435974,0.05465783968344618,-0.07518608978482015,-0.13249167674518963,-0.16696195101438954,-0.0736407094196453,-0.18825451489886344,-0.16934187652702723,-0.31956259114726726,0.09484231346440852,0.1577809876225962,-0.1577809876225962,0.2572583288785377,-0.2572583288785377,-0.14698010897601468,0.14698010897601468,-0.09934956080150055,0.09934956080150055,0.024599284968044085,-0.024599284968044085
orange,0.2370236127020181,-0.2370236127020181,,,-0.016324084696593317,-0.09465806104161138,-0.18978561068113473,0.016065531047180323,-0.012759151924806221,-0.2819540709195951,0.2819540709195951,-0.19294755799676108,0.02328452089636773,-0.13354700677411635,-0.029309583118066647,0.036976709698555627,0.33929545416172063,0.050294798179381345,0.12409795719758734,0.1885663518017955,0.14826274120459837,-0.14826274120459837,-0.055316883062562466,0.055316883062562466,0.02540473457734248,-0.02540473457734248,-0.1378773090958174,0.1378773090958174,-0.20666611512176394,0.20666611512176394
midnightblue,-0.05121776877462085,0.05121776877462085,,,0.09097771610469824,0.251147531460094,0.24191909160125064,0.017224910894874504,-0.03766520149460695,-0.1297262376715307,0.1297262376715307,-0.06746999717760352,-0.0894005358048778,-0.14306087355577948,0.10252807115759109,0.05679499729764363,0.19546984581651408,0.1852495450350621,0.13059027324881947,-0.26409156025291763,-0.019472421663994384,0.019472421663994384,0.10565123641253212,-0.10565123641253212,0.2861327516684131,-0.2861327516684131,0.33204363997387765,-0.33204363997387765,-0.011190881059602137,0.011190881059602137
cyan,0.12210076059111731,-0.12210076059111731,,,0.05590171443174868,-0.03565824085153077,0.214560638292575,0.05549317738643876,-0.15454672769552597,-0.16755788834420315,0.16755788834420315,0.058754272111650026,0.35511091677675416,-0.031432779048106145,-0.00512526547881243,0.011576573761984291,0.32358565161375363,0.2003815398266217,0.2139827571227117,0.08127586206302051,0.02954204761616957,-0.02954204761616957,-0.3008953670361047,0.3008953670361047,0.08491333333302031,-0.08491333333302031,-0.05943993933953119,0.05943993933953119,-0.13938315749855332,0.13938315749855332
darkgrey,-0.07583650093414102,0.07583650093414102,,,0.10645188994321883,-0.10068242414947297,0.2153156194146266,-0.07875481339400119,0.12244062973923618,-0.08481725435706927,0.08481725435706927,0.07798458852438019,-0.0317472772072627,0.03888091793518131,0.16022315524592032,-0.007664914447066528,0.06644542795326466,0.037268574411452995,0.052966994635295146,-0.12174487435417984,-0.05763902986825815,0.05763902986825815,-0.19764291521132255,0.19764291521132255,0.01973661431294273,-0.01973661431294273,-0.03766897196603012,0.03766897196603012,0.217040201558916,-0.217040201558916
darkgreen,-0.25967343832272405,0.25967343832272405,,,0.17520397289059753,0.13558043864629352,0.48729220224166775,-0.04676725869254733,-0.03485571690416333,0.12417835554961433,-0.12417835554961433,-0.006820857649039826,0.01286866537108665,-0.00686544671944113,0.20613751557812665,-0.05532293777295696,0.2211899109566492,0.1167989305454031,0.23344650866555122,-0.43837515324297205,-0.1615615712855076,0.1615615712855076,-0.0755347137283498,0.0755347137283498,0.1564605183872765,-0.1564605183872765,0.09818362954254213,-0.09818362954254213,0.1211026603971869,-0.1211026603971869
salmon,-0.010482891480970999,0.010482891480970999,,,0.27402013023292143,0.1115359000314297,0.34925000085338204,0.08218035120333975,-0.014167029834708971,0.10509781541230631,-0.10509781541230631,0.03877639513217969,0.08900149155495221,0.11667778647592957,0.1391794884080443,0.08984162363225245,0.17441623741304657,0.15098762137990251,0.2526566308272312,-0.13036424594465354,-0.039045403434152665,0.039045403434152665,-0.21909120649928884,0.21909120649928884,0.125026546032319,-0.125026546032319,0.0483178314300526,-0.0483178314300526,-0.0020265626640364907,0.0020265626640364907
